ARTIKELNAME;Handelssprache;Lokaler Artikelname;Lieferantenartikelnummer;Lieferanten Firmenname;LIEFERANTENNUMMER;Bruttokaufpreis;Zu- und Abschläge Bezeichnung 1;Zu- und Abschläge Preisart 1;Zu- und Abschläge Wert 1;Zu- und Abschläge Bezeichnung 2;Zu- und Abschläge Preisart 2;Zu- und Abschläge Wert 2;Währung;Artikel-Mengeneinheit;Matchcode;Artikel aktiv;Preis-Eintritt;Warengruppen-Name;Warengruppen Beschreibung;Steuersatz;Zugehörigen Verkaufsartikel erstellen oder aktualisieren;Verkaufsartikel-Nummer;Bruttopreis des zugehörigen Verkaufsartikels;Verkaufsartikel-Währung;Vertriebsweg;Vertriebsweg-Steuersatz;Kurztext 1;Handelssprache;Lokalisierte Kurztext 1;Kurztext 2;Handelssprache;Lokalisierte Kurztext 2;Artikelbeschreibung;Handelssprache;Lokalisierte Artikelbeschreibung;Interner Hinweis;Handelssprache;Lokalisierter interner Hinweis;Artikel-Langbeschreibung;Handelssprache;Lokalisierte Lange Artikelbeschreibung;EAN-Nummer;MPN-Nummer;Artikeltyp;Serienartikel;Hersteller;Bruttogewicht;Nettogewicht;Zolltarifnummer;Länge Artikel;Breite Artikel;Höhe Artikel;Herstellertyp;Einführungsdatum;Sicherheitstage;Mindestlagerbestand;Zielbestand;Wiederbeschaffungstage;Durchschnittliche Lieferzeit;Mindestbestellmenge;Gebindemenge;Lieferantenbestand;Dropshipping möglich;In Dropshipping-Automatisierung ignorieren;Kostenstelle Verkauf;Kostenstelle Einkauf;Kostenart;Primäre Bezugsquelle
Aussenecke Aluminium pulverbeschichtet staubgrau matt (RAL 7037) für quadratisches Abschlussprofil 10 mm, Blister 2 Stück;;;12170378104;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 100-7037-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium pulverbeschichtet staubgrau matt (RAL 7037) 11 mm Länge 250 cm für Wand- und Bodenbeläge;;;12170378111;;10000;16,44;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACM 110-7037, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet staubgrau matt (RAL 7037) für quadratisches Abschlussprofil 11 mm, Blister 2 Stück;;;12170378114;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 110-7037-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium pulverbeschichtet staubgrau matt (RAL 7037) 12,5 mm Länge 250 cm für Wand- und Bodenbeläge;;;12170378121;;10000;18,12;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACM 125-7037, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet staubgrau matt (RAL 7037) für quadratisches Abschlussprofil 12,5 mm, Blister 2 Stück;;;12170378124;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 125-7037-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium pulverbeschichtet achatgrau matt (RAL 7038) 8 mm Länge 250 cm für Wand- und Bodenbeläge;;;12170388081;;10000;12,58;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACM 80-7038, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet achatgrau matt (RAL 7038) für quadratisches Abschlussprofil 8 mm, Blister 2 Stück;;;12170388084;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 80-7038-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium pulverbeschichtet achatgrau matt (RAL 7038) 10 mm Länge 250 cm für Wand- und Bodenbeläge;;;12170388101;;10000;15,10;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACM 100-7038, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet achatgrau matt (RAL 7038) für quadratisches Abschlussprofil 10 mm, Blister 2 Stück;;;12170388104;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 100-7038-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium pulverbeschichtet achatgrau matt (RAL 7038) 11 mm Länge 250 cm für Wand- und Bodenbeläge;;;12170388111;;10000;16,44;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACM 110-7038, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet achatgrau matt (RAL 7038) für quadratisches Abschlussprofil 11 mm, Blister 2 Stück;;;12170388114;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 110-7038-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium pulverbeschichtet achatgrau matt (RAL 7038) 12,5 mm Länge 250 cm für Wand- und Bodenbeläge;;;12170388121;;10000;18,12;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACM 125-7038, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet achatgrau matt (RAL 7038) für quadratisches Abschlussprofil 12,5 mm, Blister 2 Stück;;;12170388124;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 125-7038-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium pulverbeschichtet verkehrsgrau A matt (RAL 7042) 8 mm Länge 250 cm für Wand- und Bodenbeläge;;;12170428081;;10000;12,58;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACM 80-7042, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet verkehrsgrau A matt (RAL 7042) für quadratisches Abschlussprofil 8 mm, Blister 2 Stück;;;12170428084;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 80-7042-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium pulverbeschichtet verkehrsgrau A matt (RAL 7042) 10 mm Länge 250 cm für Wand- und Bodenbeläge;;;12170428101;;10000;15,10;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACM 100-7042, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet verkehrsgrau A matt (RAL 7042) für quadratisches Abschlussprofil 10 mm, Blister 2 Stück;;;12170428104;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 100-7042-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium pulverbeschichtet verkehrsgrau A matt (RAL 7042) 11 mm Länge 250 cm für Wand- und Bodenbeläge;;;12170428111;;10000;16,44;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACM 110-7042, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet verkehrsgrau A matt (RAL 7042) für quadratisches Abschlussprofil 11 mm, Blister 2 Stück;;;12170428114;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 110-7042-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium pulverbeschichtet verkehrsgrau A matt (RAL 7042) 12,5 mm Länge 250 cm für Wand- und Bodenbeläge;;;12170428121;;10000;18,12;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACM 125-7042, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet verkehrsgrau A matt (RAL 7042) für quadratisches Abschlussprofil 12,5 mm, Blister 2 Stück;;;12170428124;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 125-7042-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium pulverbeschichtet telegrau 2 matt (RAL 7046) 8 mm Länge 250 cm für Wand- und Bodenbeläge;;;12170468081;;10000;12,58;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACM 80-7046, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet telegrau 2 matt (RAL 7046) für quadratisches Abschlussprofil 8 mm, Blister 2 Stück;;;12170468084;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 80-7046-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium pulverbeschichtet telegrau 2 matt (RAL 7046) 10 mm Länge 250 cm für Wand- und Bodenbeläge;;;12170468101;;10000;15,10;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACM 100-7046, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet telegrau 2 matt (RAL 7046) für quadratisches Abschlussprofil 10 mm, Blister 2 Stück;;;12170468104;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 100-7046-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium pulverbeschichtet telegrau 2 matt (RAL 7046) 11 mm Länge 250 cm für Wand- und Bodenbeläge;;;12170468111;;10000;16,44;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACM 110-7046, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet telegrau 2 matt (RAL 7046) für quadratisches Abschlussprofil 11 mm, Blister 2 Stück;;;12170468114;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 110-7046-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium pulverbeschichtet telegrau 2 matt (RAL 7046) 12,5 mm Länge 250 cm für Wand- und Bodenbeläge;;;12170468121;;10000;18,12;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACM 125-7046, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet telegrau 2 matt (RAL 7046) für quadratisches Abschlussprofil 12,5 mm, Blister 2 Stück;;;12170468124;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 125-7046-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet schwarz matt (RAL 9005) für quadratisches Abschlussprofil 7 mm, Blister 2 Stück;;;1217807041;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 711-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet schwarz matt (RAL 9005) für quadratisches Abschlussprofil 9 mm, Blister 2 Stück;;;1217809041;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 911-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet schwarz matt (RAL 9005) für quadratisches Abschlussprofil 8 mm, Blister 2 Stück;;;1217810041;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 1011-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet schwarz matt (RAL 9005) für quadratisches Abschlussprofil 11 mm, Blister 2 Stück;;;1217811041;;10000;7,20;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACM 1111-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium strukturbeschichtet graubraun (RAL 8019) 8 mm Länge 250 cm für Wand- und Bodenbeläge;;;12180198081;;10000;15,10;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACS 80-8019, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet graubraun (RAL 8019) für quadratisches Abschlussprofil 8 mm, Blister 2 Stück;;;12180198084;;10000;8,64;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACS 80-8019-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium strukturbeschichtet graubraun (RAL 8019) 10 mm Länge 250 cm für Wand- und Bodenbeläge;;;12180198101;;10000;18,12;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACS 100-8019, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet graubraun (RAL 8019) für quadratisches Abschlussprofil 10 mm, Blister 2 Stück;;;12180198104;;10000;8,64;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACS 100-8019-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium strukturbeschichtet graubraun (RAL 8019) 11 mm Länge 250 cm für Wand- und Bodenbeläge;;;12180198111;;10000;19,74;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACS 110-8019, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet graubraun (RAL 8019) für quadratisches Abschlussprofil 11 mm, Blister 2 Stück;;;12180198114;;10000;8,64;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACS 110-8019-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium strukturbeschichtet graubraun (RAL 8019) 12,5 mm Länge 250 cm für Wand- und Bodenbeläge;;;12180198121;;10000;21,74;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACS 125-8019, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet graubraun (RAL 8019) für quadratisches Abschlussprofil 12,5 mm, Blister 2 Stück;;;12180198124;;10000;8,64;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACS 125-8019-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium strukturbeschichtet terrabraun (RAL 8028) 8 mm Länge 250 cm für Wand- und Bodenbeläge;;;12180288081;;10000;15,10;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACS 80-8028, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet terrabraun (RAL 8028) für quadratisches Abschlussprofil 8 mm, Blister 2 Stück;;;12180288084;;10000;8,64;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACS 80-8028-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium strukturbeschichtet terrabraun (RAL 8028) 10 mm Länge 250 cm für Wand- und Bodenbeläge;;;12180288101;;10000;18,12;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACS 100-8028, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet terrabraun (RAL 8028) für quadratisches Abschlussprofil 10 mm, Blister 2 Stück;;;12180288104;;10000;8,64;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACS 100-8028-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Quadratisches Abschlussprofil Aluminium strukturbeschichtet terrabraun (RAL 8028) 11 mm Länge 250 cm für Wand- und Bodenbeläge;;;12180288111;;10000;19,74;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DPSACS 110-8028, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet terrabraun (RAL 8028) für quadratisches Abschlussprofil 11 mm, Blister 2 Stück;;;12180288114;;10000;8,64;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;DPSACS 110-8028-Y, 2;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
