ARTIKELNAME;Handelssprache;Lokaler Artikelname;Lieferantenartikelnummer;Lieferanten Firmenname;LIEFERANTENNUMMER;Bruttokaufpreis;Zu- und Abschläge Bezeichnung 1;Zu- und Abschläge Preisart 1;Zu- und Abschläge Wert 1;Zu- und Abschläge Bezeichnung 2;Zu- und Abschläge Preisart 2;Zu- und Abschläge Wert 2;Währung;Artikel-Mengeneinheit;Matchcode;Artikel aktiv;Preis-Eintritt;Warengruppen-Name;Warengruppen Beschreibung;Steuersatz;Zugehörigen Verkaufsartikel erstellen oder aktualisieren;Verkaufsartikel-Nummer;Bruttopreis des zugehörigen Verkaufsartikels;Verkaufsartikel-Währung;Vertriebsweg;Vertriebsweg-Steuersatz;Kurztext 1;Handelssprache;Lokalisierte Kurztext 1;Kurztext 2;Handelssprache;Lokalisierte Kurztext 2;Artikelbeschreibung;Handelssprache;Lokalisierte Artikelbeschreibung;Interner Hinweis;Handelssprache;Lokalisierter interner Hinweis;Artikel-Langbeschreibung;Handelssprache;Lokalisierte Lange Artikelbeschreibung;EAN-Nummer;MPN-Nummer;Artikeltyp;Serienartikel;Hersteller;Bruttogewicht;Nettogewicht;Zolltarifnummer;Länge Artikel;Breite Artikel;Höhe Artikel;Herstellertyp;Einführungsdatum;Sicherheitstage;Mindestlagerbestand;Zielbestand;Wiederbeschaffungstage;Durchschnittliche Lieferzeit;Mindestbestellmenge;Gebindemenge;Lieferantenbestand;Dropshipping möglich;In Dropshipping-Automatisierung ignorieren;Kostenstelle Verkauf;Kostenstelle Einkauf;Kostenart;Primäre Bezugsquelle
Biegbares Abschlussprofil Messing natur 10 mm 250 cm;;;0901810099;;10000;21,76;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 100-ZF, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 10 mm 250 cm;;;09018103;;10000;18,04;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 100, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur hochglanzpoliert 10 mm 250 cm;;;09018104;;10000;31,04;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 100-SP, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 11 mm 250 cm;;;09018110;;10000;18,56;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 110, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 11 mm 250 cm;;;0901811099;;10000;22,30;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 110-ZF, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 12,5 mm 250 cm;;;0901812099;;10000;22,82;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 125-ZF, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 12,5 mm 250 cm;;;09018123;;10000;19,04;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 125, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur hochglanzpoliert 12,5 mm 250 cm;;;09018124;;10000;32,02;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 125-SP, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 15 mm 250 cm;;;09018150;;10000;21,52;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 150, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 15 mm 250 cm;;;0901815099;;10000;24,28;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 150-ZF, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 18,5 mm 250 cm;;;09018180;;10000;24,10;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 185, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 18,5 mm 250 cm;;;0901818099;;10000;26,98;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 185-ZF, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 20 mm 250 cm;;;09018200;;10000;24,96;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 200, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 20 mm 250 cm;;;0901820099;;10000;27,92;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 200-ZF, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 22 mm 250 cm;;;09018220;;10000;26,52;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 220, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 25 mm 250 cm;;;09018250;;10000;28,30;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 250, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm;;;9020551;;10000;28,98;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;BWE 55-XC, 1;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm;;;09020552;;10000;40,58;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;BWE 55-X, 1;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) natur 80 × 75 mm;;;09020751;;10000;32,60;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;BWE 75-XC, 1;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 75 mm;;;09020752;;10000;51,00;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;BWE 75-X, 1;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 95 mm;;;09020951;;10000;36,74;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;BWE 95-XC, 1;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 95 mm;;;09020952;;10000;57,42;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;Stk.;BWE 95-X, 1;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 6mm 100 cm;;;9021060;;10000;18,22;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSE 60, 100;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
